"position","depth","quality","relative_percentage"
1,68,58.1,0
2,68,59.2,0
3,68,56.2,0
4,69,54.5,0
5,70,56.8,0
6,75,54.9,0
7,75,58.1,0
8,75,59.2,0
9,76,58,0
10,77,55.8,0
11,77,59.7,0
12,77,58.2,0
13,77,57.9,0
14,77,55.3,0.0385
15,77,57,0
16,78,61.8,0
17,78,58.4,0
18,78,59.6,0
19,78,58.9,0
20,80,55.4,0.1071
21,80,58.7,0
22,81,56.8,0
23,81,55.4,0
24,81,56.8,0
25,81,60,0
26,81,60.3,0.1379
27,81,56.6,0
28,82,57.5,0
29,82,59.1,0
30,82,57,0
31,83,57.7,0
32,82,56.6,0
33,81,60.4,0
34,81,56,0
35,81,58,0
36,83,57.8,0
37,83,56.3,0.0333
38,83,56.3,0
39,83,58.1,0
40,82,54.9,0
41,83,57,0
42,83,56.3,0.0333
43,83,59.1,0.0333
44,83,56.1,0.0333
45,83,57.6,0
46,83,56,0
47,82,56.9,0
48,82,58.6,0
49,84,55.8,0
50,84,56.9,0
51,83,58,0
52,83,55.1,0
53,85,55.3,0.0312
54,85,58.5,0
55,85,59.6,0.0312
56,85,56.7,0
57,85,56.3,0
58,83,57.7,0
59,83,58.4,0
60,83,56.8,0
61,83,58,0.0333
62,84,61.9,0
63,83,57.2,0.0323
64,83,57.1,0.2258
65,83,59.2,0.1613
66,82,57.4,0
67,81,55.2,0
68,81,57.6,0
69,81,59.3,0
70,81,57.2,0.1667
71,82,56.9,0
72,83,58.7,0
73,84,57.1,0
74,84,59.3,0
75,86,59.3,0
76,86,60.5,0
77,88,56.7,0.1892
78,88,57.5,0.027
79,89,59.4,0.027
80,89,57.6,0.027
81,90,60.4,0
82,90,60.2,0
83,90,57.9,0
84,90,59.1,0.0526
85,91,57.9,0
86,91,57.6,0
87,91,58.7,0
88,92,59.1,0
89,93,54.8,0.0244
90,93,57.6,0
91,92,57.4,0.0244
92,93,55.8,0.0238
93,95,57.4,0.0455
94,93,58,0
95,89,56.9,0.0227
96,89,59.1,0
97,92,57.4,0
98,92,57.3,0
99,91,61.9,0
100,93,59.3,0
101,91,59.6,0
102,90,57.6,0
103,90,59.4,0
104,90,55.5,0
105,90,58.7,0
106,92,57.4,0
107,94,57,0.0179
108,94,60.4,0
109,89,58.6,0.0182
110,89,57.9,0
111,89,60.5,0
112,89,56.7,0
113,88,56.4,0
114,88,57.8,0
115,93,60.6,0
116,95,61.7,0
117,95,64.4,0
118,96,63.3,0
119,96,56,0
120,97,57.5,0
121,97,55.4,0
122,99,56.9,0
123,100,57.8,0
124,92,60.3,0
125,92,58.5,0
126,91,60.5,0.0143
127,91,57.9,0
128,91,61.7,0
129,87,60,0.0141
130,90,55.2,0.0267
131,87,61.8,0
132,98,59.7,0
133,102,63.7,0
134,102,61.5,0
135,103,58.3,0
136,103,56.8,0
137,106,58.7,0
138,106,60.2,0
139,106,60.8,0
140,107,60.3,0
141,99,59.9,0
142,100,57.2,0.0104
143,101,59.2,0
144,102,61.1,0
145,103,57.4,0
146,101,61.2,0
147,99,59.1,0
148,99,60,0
149,99,56.3,0
150,99,63.2,0
151,99,61,0
152,99,64.2,0
153,99,62.2,0
154,99,60.2,0
155,101,59.2,0.0103
156,100,60,0
157,100,60.1,0
158,99,59.9,0
159,99,59.9,0
160,103,56.9,0
161,104,59.3,0.01
162,104,60.1,0.01
163,108,60.1,0
164,108,59.9,0
165,108,60.2,0
166,109,58.8,0.0095
167,109,59.5,0
168,109,60.9,0
169,109,57.9,0.0095
170,107,58.1,0
171,107,57.1,0.0291
172,107,58.6,0
173,107,61.2,0
174,107,58.9,0
175,105,60,0
176,107,61.2,0
177,107,56.9,0
178,111,60.4,0
179,111,59.4,0
180,111,58.6,0.0093
181,110,58.8,0.0093
182,111,58.9,0
183,111,57.2,0
184,112,59.3,0
185,110,58.7,0.0094
186,110,60.6,0
187,110,59.2,0
188,110,59.5,0.0094
189,110,62.9,0
190,110,57.8,0
191,109,57.8,0.0094
192,109,59.6,0
193,109,59.4,0
194,109,59.6,0.0094
195,109,58.2,0
196,111,59,0
197,111,60.5,0
198,109,61.7,0.0095
199,109,61.6,0
200,109,64.8,0
201,110,61.5,0
202,110,58.9,0
203,114,59.7,0.0091
204,115,60.2,0.009
205,115,60.5,0
206,117,59.9,0
207,117,60.4,0
208,117,62.6,0
209,118,58.8,0.0175
210,118,62.3,0
211,117,59.2,0
212,116,57.8,0
213,118,57.2,0.0175
214,119,62.6,0.0088
215,119,57.9,0.0088
216,119,59.3,0.0263
217,119,60.7,0.0175
218,121,58.8,0
219,121,58.7,0
220,122,60,0
221,122,61.4,0
222,122,60.2,0
223,121,59.9,0.0087
224,123,61.1,0
225,122,62.9,0
226,122,56.5,0.0086
227,121,61.4,0
228,121,60.7,0.0087
229,121,62.7,0
230,121,59.8,0
231,121,59.2,0
232,121,59.2,0.0088
233,120,62.5,0
234,120,56.9,0
235,120,59.1,0
236,120,57.2,0.0088
237,120,57.8,0.0088
238,123,59.1,0.0172
239,122,56.8,0
240,122,58.3,0
241,120,62.2,0.0088
242,120,59,0.0088
243,119,57.7,0.0089
244,119,57.3,0.0089
245,119,61.4,0
246,120,58.1,0
247,117,61.6,0
248,117,57.7,0.0273
249,117,58.5,0.0091
250,114,59.6,0
251,114,62.8,0
252,113,58.8,0
253,113,58.4,0
254,114,56.8,0
255,114,57.9,0.0093
256,112,58.6,0
257,109,59.2,0
258,109,58.5,0
259,109,58.6,0.0098
260,109,56.3,0
261,110,58,0
262,110,57.3,0.0196
263,110,62.3,0
264,113,58.7,0
265,108,62.5,0
266,106,57.5,0
267,105,62.2,0
268,105,58,0.0099
269,105,58.6,0
270,104,60.9,0
271,107,57.3,0
272,104,55.5,0.01
273,123,57.4,0.0084
274,122,57.7,0.0169
275,120,60.9,0
276,122,58.5,0
277,121,59.1,0
278,122,58.6,0.2174
279,121,57.8,0
280,118,55.6,0.0088
281,109,59.7,0.0094
282,103,57.4,0.0198
283,109,58.5,0
284,108,56.4,0.0094
285,109,57.8,0
286,107,57.9,0.0095
287,107,60.1,0
288,107,62.6,0
289,108,67.2,0
290,106,59.2,0.0095
291,107,57.9,0
292,109,58.8,0
293,107,57.5,0.0094
294,110,59.6,0.2407
295,107,56.5,0
296,107,56.9,0
297,106,57,0
298,106,57.2,0
299,107,58.6,0.2476
300,108,57.6,0
301,108,55.8,0
302,108,57.6,0.0093
303,109,55.6,0
304,109,59.7,0
305,106,56.5,0
306,106,57.5,0
307,108,61.2,0
308,108,58.5,0.0278
309,104,64.1,0
310,103,59.5,0
311,102,59.4,0
312,102,55.4,0.0099
313,101,57.3,0
314,102,60.1,0
315,102,62.5,0.01
316,100,60,0.0204
317,101,55.9,0.0101
318,101,58.6,0.0101
319,101,59.2,0
320,101,59.8,0
321,102,56.5,0.0202
322,102,60.3,0.0101
323,102,57.8,0
324,103,57.8,0.01
325,103,57.5,0
326,101,59.4,0
327,100,57.9,0.0309
328,101,61.2,0.0102
329,105,56.7,0
330,105,59.2,0
331,105,57.6,0
332,104,59.9,0
333,104,59.9,0
334,106,57.4,0.01
335,107,58.5,0
336,108,59.4,0
337,108,58.4,0
338,108,59.2,0.0098
339,109,58,0
340,116,62.7,0
341,116,58.9,0
342,116,61,0
343,115,58.1,0.0092
344,113,59.4,0
345,121,57.5,0
346,121,58.3,0
347,124,57.7,0.0085
348,124,59.3,0.0171
349,125,57.2,0
350,129,60.8,0
351,128,58.3,0.0083
352,129,58.4,0.025
353,127,57.4,0
354,126,59,0
355,126,60.4,0
356,124,58.9,0
357,126,59,0
358,126,58.2,0.0085
359,125,59,0
360,125,58.4,0
361,124,57.7,0.0087
362,123,57.5,0.2696
363,123,59.5,0.0174
364,122,58.2,0
365,122,57.5,0.0088
366,122,55.9,0.0088
367,122,58.7,0.0088
368,123,57.4,0
369,123,59,0.0088
370,125,57.1,0
371,125,56.5,0
372,125,57.6,0
373,125,57.2,0.0086
374,123,57,0
375,126,58.1,0
376,127,56.9,0.0168
377,126,60.7,0.0085
378,126,61.4,0
379,124,57.7,0.2759
380,124,55.8,0.0086
381,123,57.8,0.7241
382,123,57.6,0
383,123,58.9,0
384,123,59.2,0
385,124,57.7,0
386,126,58.9,0.0085
387,126,57.8,0.0085
388,124,56.8,0.0085
389,124,56.2,0.0085
390,124,58,0
391,124,59.1,0
392,124,57.5,0.0085
393,124,57.6,0.0085
394,125,57.2,0.0085
395,125,55,0.0085
396,124,59.1,0
397,123,57,0.0086
398,123,57.3,0
399,123,57.1,0.0086
400,123,56.7,0.0172
401,123,57,0.0086
402,123,57.6,0
403,123,57.3,0.0345
404,119,59.9,0.0089
405,121,57.8,0.0089
406,122,56.8,0.0354
407,122,56.1,0
408,122,58.5,0.0087
409,124,58,0
410,124,57.8,0
411,123,58.9,0.0087
412,123,56.5,0.2609
413,124,58.5,0
414,125,62.6,0.0085
415,125,58.1,0
416,125,59.9,0.0085
417,127,59.1,0
418,127,57.1,0.0084
419,127,55.6,0.0168
420,115,58.7,0
421,115,58.7,0.2432
422,114,55.8,0
423,109,58.1,0.0094
424,110,59.6,0
425,111,59.4,0.0093
426,109,56.4,0.0094
427,108,56.9,0.0095
428,108,57.1,0
429,108,57.2,0.0095
430,108,58.7,0.2095
431,108,58.7,0.0095
432,108,58.4,0.0095
433,102,66.5,0
434,102,60.1,0.01
435,102,59.3,0
436,100,62.2,0
437,101,61.8,0
438,100,58.4,0
439,99,57,0.2062
440,99,60.5,0
441,99,56.4,0.0103
442,98,56.4,0
443,98,58.9,0
444,94,59.3,0.0109
445,93,58.1,0.1978
446,93,60.7,0
447,93,57.3,0
448,92,58.8,0.2
449,94,67.5,0
450,95,61.4,0
451,95,59.3,0
452,99,56.7,0
453,99,57.7,0
454,99,58.1,0.0105
455,100,60.7,0
456,101,57.1,0
457,102,58.5,0.0102
458,102,59.3,0
459,102,60,0
460,102,62.2,0
461,102,59.2,0
462,102,61.4,0
463,99,56,0.2316
464,99,57.6,0.0105
465,99,56.7,0.0105
466,98,58.3,0.0106
467,99,58.9,0
468,101,58.2,0
469,101,56.6,0.2188
470,105,56.6,0
471,104,60,0.0102
472,109,57.3,0.7879
473,108,59.2,0
474,108,57.4,0
475,109,57.8,0
476,110,58.3,0
477,108,57.3,0.0098
478,108,59.9,0.0098
479,104,59,0
480,107,59.7,0.02
481,105,56.5,0
482,106,55.5,0
483,103,57.7,0.0103
484,102,56.7,0
485,102,58,0
486,101,56.4,0
487,101,57.2,0.0211
488,100,57.3,0.0106
489,100,58.1,0
490,97,57.3,0
491,98,57.1,0
492,98,60,0
493,94,58.7,0
494,94,58.2,0.0222
495,94,56.6,0
496,92,57.7,0
497,91,57.9,0
498,91,56.7,0
499,86,57.5,0
500,85,57.5,0.0123
501,84,58.2,0
502,81,58.2,0
503,82,57.4,0.0128
504,84,56.6,0.0125
505,84,55.8,0
506,84,58.5,0.0125
507,82,57.6,0.0256
508,83,56,0.0253
509,83,60,0
510,84,61.7,0
511,84,57.5,0.0125
512,80,59.1,0
513,83,55.4,0.0125
514,83,60.7,0.0125
515,83,60.4,0
516,83,62.9,0
517,83,57.8,0.0125
518,82,56.9,0
519,82,58.2,0
520,77,57.9,0.0133
521,77,57.3,0
522,77,58.9,0.0133
523,77,57.9,0.0133
524,75,59.7,0
525,74,56.8,0
526,75,57.9,0
527,75,58.2,0.027
528,75,58.2,0.0135
529,75,61.6,0
530,75,60.8,0.0135
531,75,58.2,0
532,75,56.2,0.1892
533,76,57.9,0.0135
534,76,54.5,0.0135
535,76,56.8,0
536,76,54.4,0
537,76,59.8,0
538,76,58.8,0
539,75,57.9,0
540,75,56.7,0
541,75,61.1,0
542,75,57.5,0.0137
543,76,58.8,0
544,75,57.8,0
545,76,61.3,0.0137
546,76,59,0
547,77,59.4,0
548,78,59.7,0
549,78,58.7,0
550,81,59.7,0
551,82,56.7,0
552,82,58.1,0.0127
553,82,62.4,0
554,85,56.8,0.0122
555,86,56.8,0.012
556,87,58.7,0
557,86,58.4,0
558,87,61.2,0
559,86,57.2,0.2289
560,86,58,0
561,91,56.4,0
562,90,59.6,0.2184
563,92,56.7,0
564,88,59.4,0
565,88,58.8,0.0118
566,86,61.7,0
567,85,57,0.0122
568,85,60.5,0
569,85,58.9,0.0122
570,85,54.9,0
571,85,56.8,0
572,87,58.2,0
573,87,61.3,0
574,86,56.8,0
575,85,57,0
576,86,57.2,0
577,86,58.2,0
578,88,57.8,0
579,88,56.6,0
580,88,57.7,0
581,88,60,0
582,89,58.1,0
583,89,58.1,0.0349
584,91,56.3,0.0115
585,93,57.6,0.0112
586,98,54.7,0
587,97,57.2,0.0108
588,97,57.2,0.0215
589,97,56.2,0.0108
590,97,58.4,0
591,95,56.6,0
592,95,57.6,0
593,95,62,0
594,95,58.2,0.0217
595,98,55.8,0
596,97,58.7,0.0106
597,94,57,0.1758
598,95,59.8,0
599,95,60.3,0.1739
600,94,57.4,0
601,94,57.5,0
602,93,57.6,0.1778
603,93,58.5,0
604,93,56.6,0.0222
605,92,56.7,0
606,92,58.3,0
607,89,55.3,0.0233
608,89,57,0.0116
609,89,57.2,0.0116
610,90,61,0
611,92,54.5,0.0112
612,92,57,0
613,93,57.1,0
614,94,57.1,0
615,94,56.2,0.011
616,100,56.9,0.0104
617,98,55.8,0
618,97,55.6,0.0215
619,97,54.2,0.0108
620,94,56.4,0
621,95,54.8,0.011
622,90,54.3,0.0349
623,90,53.2,0
624,89,54.2,0.0118
625,88,57.7,0.0238
626,87,60.3,0
627,86,58.6,0.0122
628,90,58.2,0.0118
629,92,54,0.0345
630,89,57.4,0.0119
631,90,57.3,0.0116
632,94,55.4,0
633,98,58.1,0
634,98,57.9,0
635,98,56.8,0.0108
636,98,57.1,0.0323
637,98,59.6,0
638,98,58.1,0
639,98,61.8,1
640,94,57.9,0
641,93,54.4,0.0225
642,92,58,0
643,92,59.1,0
644,97,57,0
645,98,57.7,0.0211
646,99,57.3,0
647,99,56.6,0
648,100,55.7,0
649,100,57.3,0.0103
650,100,55.6,0.0103
651,100,53.9,0
652,100,57.6,0
653,99,55,0
654,97,56.4,0
655,97,55.4,0.0213
656,97,58.1,0
657,97,53,0.0106
658,97,59.2,0.0213
659,98,55.7,0
660,97,55.6,0
661,97,55,0.0213
662,97,55.9,0.0319
663,93,58,0
664,93,54,0.0222
665,94,55.1,0.044
666,101,55,0.0102
667,101,57.4,0
668,102,55.6,0.0202
669,102,56.1,0.2424
670,102,55.4,0.0101
671,103,57.9,0.02
672,104,53.8,0.0495
673,106,56.5,0.0097
674,106,55.9,0.0097
675,105,57.8,0.0098
676,105,55.9,0.0196
677,108,54,0.0286
678,108,55.5,0.019
679,108,56.5,0.0192
680,109,58.5,0.0286
681,107,57,0.0097
682,107,57.5,0.2621
683,106,56.3,0.0291
684,106,53.4,0
685,105,57,0.0097
686,105,56.6,0.0098
687,107,56.6,0.019
688,109,56.9,0
689,111,57.5,0.0092
690,111,59.1,0
691,112,56.1,0.0182
692,112,57.6,0.0182
693,111,58.8,0.0183
694,110,56.6,0.0093
695,110,59.2,0.0093
696,109,57.5,0.0187
697,111,58.1,0
698,110,55.1,0.0278
699,107,55.8,0.0095
700,106,58.6,0
701,107,54.5,0.0096
702,111,57,0.0093
703,109,57.4,0.0189
704,108,56.7,0.0189
705,108,56.1,0
706,109,57.9,0.0093
707,111,56,0
708,110,57.9,0
709,110,55.2,0.271
710,110,57.1,0.0093
711,106,55.4,0.0291
712,112,57.2,0.0093
713,110,56.7,0.0094
714,110,56.3,0
715,112,55.4,0.0278
716,113,54.4,0.0092
717,112,56.6,0
718,112,57.1,0.0093
719,114,57.7,0.0092
720,116,55.1,0.0091
721,111,57.7,0.0095
722,111,56.7,0
723,112,54.9,0.0377
724,112,57.2,0.0094
725,113,58.4,0
726,111,57.5,0.0095
727,112,57.7,0.0094
728,111,55.4,0.019
729,109,57.6,0
730,109,57.7,0.25
731,110,56.8,0
732,109,56.4,0
733,109,56.5,0.0192
734,104,55,0.06
735,101,55.3,0.0206
736,101,56.9,0.2551
737,101,58.3,0
738,104,56,0
739,103,55.8,0.0102
740,103,56.1,0.0204
741,103,55.8,0.0102
742,104,54.6,0
743,104,59.9,0
744,101,57.3,0.0103
745,101,56.2,0.0206
746,101,55.6,0.0412
747,101,56.7,0.0103
748,99,56,0.0316
749,98,56.4,0
750,98,55.1,0.0106
751,98,59.1,0.0106
752,101,60.2,0
753,101,57.2,0.0103
754,101,54.8,0
755,101,57.3,0.0412
756,101,57.1,0
757,101,56.1,0.0412
758,101,57.2,0.0103
759,101,61.3,0.0103
760,101,59.7,0
761,99,58.6,0
762,99,57,0
763,98,59.4,0
764,97,55.6,0
765,98,58.9,0.0211
766,98,57.2,0.3158
767,100,57.7,0.0206
768,100,58.1,0.0206
769,98,59.9,0
770,101,60.8,0
771,100,57.1,0.0208
772,101,57.5,0.3163
773,101,57,0
774,101,59.2,0.0101
775,101,57.1,0
776,97,58.4,0
777,98,57.3,0.0104
778,96,58.1,0
779,96,59.1,0.0106
